path,label,pred,prob_positive,read_ms,decode_ms,preprocess_ms,inference_ms,total_ms,file_kb
C:\Users\MyPC\Documents\New project 4\balanced_cache_160\test\food\000c97456d1d5d7003e285b6df8860b9.jpg,1,1,0.9767928123474121,0.23310002870857716,0.41560002136975527,0.6447999039664865,6.958200014196336,8.251699968241155,6.3056640625
C:\Users\MyPC\Documents\New project 4\balanced_cache_160\test\food\0a38ff36-5dbc-11ee-9b19-0242c0a86002-6fa459ea-ee8a-3ca4-894e-db77e160355e.jpg,1,1,1.0,0.17310003750026226,0.19609997980296612,0.4771000239998102,6.267599994316697,7.113900035619736,12.5439453125
C:\Users\MyPC\Documents\New project 4\balanced_cache_160\test\food\0b7f659b4f083980d96123582193fcd2.jpg,1,1,0.9999657869338989,0.1398000167682767,0.15810003969818354,0.45469996985048056,7.309400010854006,8.062000037170947,6.3798828125
C:\Users\MyPC\Documents\New project 4\balanced_cache_160\test\food\0c22eefd36595a0a0cb1c335114aae11.jpg,1,1,0.9999257326126099,0.1686000032350421,0.16960001084953547,0.38549990858882666,6.692000082693994,7.415700005367398,8.43359375
C:\Users\MyPC\Documents\New project 4\balanced_cache_160\test\food\0d740ecfd74a15ea71b1247bae3e2d7c.jpg,1,1,0.9999988079071045,0.156699912622571,0.16430008690804243,0.386199913918972,7.09700002335012,7.804199936799705,8.2236328125
C:\Users\MyPC\Documents\New project 4\balanced_cache_160\test\food\0feb943f410f45338dbc19576667e281.jpg,1,1,0.9999985694885254,0.16579998191446066,0.1596000511199236,0.38599991239607334,6.629300070926547,7.340700016357005,7.1875
C:\Users\MyPC\Documents\New project 4\balanced_cache_160\test\food\0ffe35b6-9f35-11ee-9c02-0242c0a87003-6fa459ea-ee8a-3ca4-894e-db77e160355e.jpg,1,1,1.0,0.23330003023147583,0.2313000150024891,0.4914000164717436,6.761299911886454,7.717299973592162,11.54296875
C:\Users\MyPC\Documents\New project 4\balanced_cache_160\test\food\1774bfe6-5dbc-11ee-9b19-0242c0a86002-6fa459ea-ee8a-3ca4-894e-db77e160355e.jpg,1,1,1.0,0.15440001152455807,0.18720002844929695,0.37539994809776545,6.960100028663874,7.677100016735494,10.7216796875
C:\Users\MyPC\Documents\New project 4\balanced_cache_160\test\food\2dfb188460df4ba5bb796a8b70b7e554.jpg,1,1,1.0,0.1612999476492405,0.16629998572170734,0.38129999302327633,7.548100082203746,8.25700000859797,7.87109375
C:\Users\MyPC\Documents\New project 4\balanced_cache_160\test\food\31230f48-944c-11ef-90b6-0242ac150002-6fa459ea-ee8a-3ca4-894e-db77e160355e.jpg,1,1,0.9998998641967773,0.26160001289099455,0.17809995915740728,0.39770000148564577,6.9188999477773905,7.756299921311438,8.646484375
